OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-07096000,"ARKANSAS RIVER AT CANON CITY, CO.",Stream,,11020002,3117,sq mi,,,38.43388674000000,-105.2572128000000,,5,seconds,Interpolated from MAP.,NAD83,5342.13,feet,15,feet,Unknown.,NGVD29,US,08,043,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07097000,"ARKANSAS RIVER AT PORTLAND, CO.",Stream,,11020002,4024,sq mi,,,38.38833418000000,-105.0160961000000,,5,seconds,Interpolated from MAP.,NAD83,5021.59,feet,15,feet,Unknown.,NGVD29,US,08,043,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07099200,"ARKANSAS RIVER NEAR PORTLAND, CO.",Stream,,11020002,4280,sq mi,,,38.33722410000000,-104.9388723000000,,5,seconds,Interpolated from MAP.,NAD83,4940.00,feet,15,feet,Unknown.,NGVD29,US,08,101,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07099215,"TURKEY CREEK NEAR FOUNTAIN, CO",Stream,,11020002,13.0,sq mi,,,38.61166168000000,-104.8946990000000,24000,5,seconds,Interpolated from MAP.,NAD83,6420,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07099400,"ARKANSAS RIVER ABOVE PUEBLO, CO",Stream,,11020002,4670,sq mi,,,38.27166940000000,-104.7180330000000,24000,5,seconds,Interpolated from MAP.,NAD83,4740,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,101,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07099971,"ARKANSAS RIVER BELOW MOFFAT STREET AT PUEBLO, CO",Stream,,11020002,,,,,38.25327500000000,-104.6028778000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,4644,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,101,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07103700,"FOUNTAIN CREEK NEAR COLORADO SPRINGS, CO.",Stream,,11020003,102,sq mi,,,38.85471357000000,-104.8780314000000,,5,seconds,Interpolated from MAP.,NAD83,6110.00,feet,15,feet,Unknown.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07103707,"FOUNTAIN CREEK BL 8TH ST., AT COLO. SPRINGS, CO.",Stream,,11020003,119,sq mi,,,38.82943667000000,-104.8396969000000,,.1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07103960,"KETTLE CREEK ABOVE USAF ACADEMY, CO",Stream,,11020003,16.2,sq mi,,,38.97611110000000,-104.7986111000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6620,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07103965,"PINE CREEK ABV BRIARGATE PKWY,ABV COLO SPRINGS, CO",Stream,,11020003,3.53,sq mi,,,38.96750278000000,-104.7940167000000,24000,5,seconds,Interpolated from MAP.,NAD83,6590,feet,10,feet,Interpolated from topographic map.,NAVD88,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07103970,"MONUMENT CR ABV WOODMEN RD AT COLORADO SPRINGS, CO",Stream,,11020003,180,sq mi,,,38.93388170000000,-104.8171992000000,24000,5,seconds,Interpolated from MAP.,NAD83,6270,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07103987,"COTTONWOOD CK AT UNION BLVD, AT COLO SPRINGS, CO",Stream,,11020003,16.1,sq mi,,,38.93036110000000,-104.7761500000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,6485,feet,10,feet,Interpolated from topographic map.,NAVD88,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07103990,"COTTONWOOD CREEK AT MOUTH AT PIKEVIEW, CO",Stream,,11020003,18.9,sq mi,,,38.92722220000000,-104.8141667000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,6240,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07104000,"MONUMENT CREEK AT PIKEVIEW, CO.",Stream,,11020003,203,sq mi,,,38.91777057000000,-104.8185877000000,,5,seconds,Interpolated from MAP.,NAD83,6203.26,feet,15,feet,Unknown.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07104905,"MONUMENT CREEK AT BIJOU ST. AT COLO. SPRINGS, CO",Stream,,11020003,235,sq mi,,,38.83721474000000,-104.8294192000000,,5,seconds,Interpolated from MAP.,NAD83,5980,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07105500,"FOUNTAIN CREEK AT COLORADO SPRINGS, CO",Stream,,11020003,392,sq mi,,,38.81638158000000,-104.8227519000000,24000,5,seconds,Interpolated from MAP.,NAD83,5900,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07105530,"FOUNTAIN CR BLW JANITELL RD BLW COLO. SPRINGS, CO",Stream,,11020003,413,sq mi,,,38.80304910000000,-104.7958069000000,24000,5,seconds,Interpolated from MAP.,NAD83,5840,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07105600,"SAND CREEK ABOVE MOUTH AT COLORADO SPRINGS, CO",Stream,,11020003,52.4,sq mi,,,38.78832768000000,-104.7738620000000,24000,1,seconds,Interpolated from MAP.,NAD83,5837,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07105800,"FOUNTAIN CREEK AT SECURITY, CO",Stream,,11020003,500,sq mi,,,38.72944040000000,-104.7338611000000,24000,5,seconds,Interpolated from MAP.,NAD83,5640,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07105900,"JIMMY CAMP CREEK AT FOUNTAIN, CO.",Stream,,11020003,65.4,sq mi,,,38.68444130000000,-104.6885830000000,,5,seconds,Interpolated from MAP.,NAD83,5530.00,feet,15,feet,Unknown.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07105940,"LITTLE FOUNTAIN CREEK NEAR FOUNTAIN, CO",Stream,,11020003,26.8,sq mi,,,38.64265000000000,-104.7483833000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5566,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07106000,"FOUNTAIN CREEK NEAR FOUNTAIN, CO.",Stream,,11020003,672,sq mi,,,38.60166470000000,-104.6702503000000,,5,seconds,Interpolated from MAP.,NAD83,5355,feet,15,feet,Unknown.,NGVD29,US,08,041,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07106300,"FOUNTAIN CREEK NEAR PINON, CO",Stream,,11020003,865,sq mi,,,38.42944444000000,-104.5980556000000,24000,5,seconds,Interpolated from MAP.,NAD83,4990,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,101,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07106500,"FOUNTAIN CREEK AT PUEBLO, CO.",Stream,,11020003,925,sq mi,,,38.28778010000000,-104.6010849000000,,5,seconds,Interpolated from MAP.,NAD83,4705,feet,15,feet,Unknown.,NGVD29,US,08,101,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07109500,"ARKANSAS RIVER NEAR AVONDALE, CO.",Stream,,11020002,6254,sq mi,,,38.24805799000000,-104.3991356000000,,5,seconds,Interpolated from MAP.,NAD83,4509.53,feet,15,feet,Unknown.,NGVD29,US,08,101,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07119700,"ARKANSAS RIVER AT CATLIN DAM, NEAR FOWLER, CO.",Stream,,11020005,10901,sq mi,10847,sq mi,38.12583934000000,-103.9119006000000,,5,seconds,Interpolated from MAP.,NAD83,4245.92,feet,.01,feet,Level or other surveyed method.,NGVD29,US,08,089,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07120500,"ARKANSAS RIVER NEAR ROCKY FORD, CO.",Stream,,11020005,11090,sq mi,11036,sq mi,38.06528559000000,-103.6860593000000,24000,3,seconds,Interpolated from MAP.,NAD83,4150,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,089,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07124000,"ARKANSAS RIVER AT LAS ANIMAS, CO.",Stream,,11020009,14245,sq mi,13804,sq mi,38.08083990000000,-103.2196523000000,,5,seconds,Interpolated from MAP.,NAD83,3883.97,feet,15,feet,Unknown.,NGVD29,US,08,011,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07126300,"PURGATOIRE RIVER NEAR THATCHER, CO.",Stream,,11020010,1914,sq mi,1902.2,sq mi,37.35640590000000,-103.9002383000000,24000,5,seconds,Interpolated from MAP.,NAD83,4790,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,071,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07126485,"PURGATOIRE RIVER AT ROCK CROSSING NR TIMPAS, CO.",Stream,,11020010,2758,sq mi,2746.2,sq mi,37.61834740000000,-103.5935570000000,,3,seconds,Interpolated from MAP.,NAD83,4350,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,071,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07130500,"ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR, CO.",Stream,,11020009,18494,sq mi,17709,sq mi,38.06639635000000,-102.9324228000000,,5,seconds,Interpolated from MAP.,NAD83,3737.40,feet,15,feet,Unknown.,NGVD29,US,08,011,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-08251500,"RIO GRANDE NEAR LOBATOS, CO",Stream,,13010002,7700,sq mi,4760,sq mi,37.07861110000000,-105.7569444000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,7427.63,feet,15,feet,Unknown.,NGVD29,US,08,021,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09013000,"ALVA B ADAMS TUN AT E PORTAL, NR ESTES PARK, CO.","Subsurface: Tunnel, shaft, or mine",,10190006,,,,,40.32762220000000,-105.5784306000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,8264,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,069,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09013500,"EAST INLET NEAR GRAND LAKE, CO.",Stream,,14010001,27.2,sq mi,,,40.23637409000000,-105.7983437000000,,5,seconds,Interpolated from MAP.,NAD83,8370.49,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09013900,"GRAND LAKE AT GRAND LAKE, CO.","Lake, Reservoir, Impoundment",,14010001,,,,,40.24333330000000,-105.8130556000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09014000,"GRAND LAKE OUTLET AT GRAND LAKE, CO.",Stream,,14010001,76.3,sq mi,,,40.24474444000000,-105.8261500000000,24000,1,minutes,Interpolated from Digital MAP.,NAD83,8372,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09014500,"SHADOW MOUNTAIN LAKE NEAR GRAND LAKE, CO.","Lake, Reservoir, Impoundment",,14010001,,,,,40.21008330000000,-105.8420833000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09018500,"LAKE GRANBY NEAR GRANBY, CO.","Lake, Reservoir, Impoundment",,14010001,,,,,40.14972220000000,-105.8649000000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09022000,"FRASER RIVER AT UPPER STA, NEAR WINTER PARK, CO.",Stream,,14010001,10.5,sq mi,10.5,sq mi,39.84582040000000,-105.7519507000000,,1,seconds,Interpolated from MAP.,NAD83,9520.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09023560,"FRASER RIVER ABV MOFFAT TUNNEL AT WINTER PARK, CO",Stream,,14010001,23.9,sq mi,,,39.88655830000000,-105.7618222000000,,1,seconds,Interpolated from MAP.,NAD83,9087,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09023750,"FRASER RIVER BELOW BUCK CREEK AT WINTER PARK, CO",Stream,,14010001,25.6,sq mi,,,39.89302778000000,-105.7647500000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,9010,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09025000,"VASQUEZ CREEK AT WINTER PARK, CO",Stream,,14010001,27.9,sq mi,,,39.92026468000000,-105.7852857000000,,5,seconds,Interpolated from MAP.,NAD83,8773.16,feet,.12,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09025010,FRASER RIVER BLW VASQUEZ CREEK AT WINTER PARK CO.,Stream,,14010001,59.0,sq mi,59,sq mi,39.92776467000000,-105.7861190000000,24000,1,seconds,Interpolated from MAP.,NAD83,8720,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09027010,FRASER RIVER BLW ST. LOUIS CREEK AT FRASER CO.,Stream,,14010001,,,,,39.95193056000000,-105.8147306000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,8535,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09027100,"FRASER RIVER AT TABERNASH, CO",Stream,,14010001,115,sq mi,,,39.99033330000000,-105.8297778000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,8350,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09032000,"RANCH CREEK NEAR FRASER, CO.",Stream,,14010001,20.0,sq mi,,,39.94998694000000,-105.7655627000000,,1,minutes,Interpolated from MAP.,NAD83,8660,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09033100,"RANCH CREEK BLW MEADOW CR NR TABERNASH, CO",Stream,,14010001,66.0,sq mi,,,39.99908610000000,-105.8265583000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,8343,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09033300,FRASER RIVER BLW CROOKED CR AT TABERNASH CO,Stream,,14010001,224,sq mi,,,40.00689167000000,-105.8482722000000,24000,1,minutes,Interpolated from MAP.,NAD83,8274,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09034250,"COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO.",Stream,,14010001,788,sq mi,,,40.10831900000000,-106.0041847000000,,5,seconds,Interpolated from MAP.,NAD83,7790.48,feet,.17,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09041090,"MUDDY CREEK ABOVE ANTELOPE CREEK NR. KREMMLING, CO",Stream,,14010001,145,sq mi,,,40.20248440000000,-106.4225335000000,,5,seconds,Interpolated from MAP.,NAD83,7520,feet,15,feet,Unknown.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09041395,"WOLFORD MTN RESERVOIR NR KREMMLING, CO","Lake, Reservoir, Impoundment",,14010001,270,sq mi,,,40.11276290000000,-106.4150324000000,24000,5,seconds,Interpolated from MAP.,NAD83,7390,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09041400,"MUDDY CRK BLW WOLFORD MTN RESER. NR KREMMLING, CO",Stream,,14010001,270,sq mi,,,40.10859628000000,-106.4139212000000,24000,5,seconds,Interpolated from MAP.,NAD83,7380,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09050700,"BLUE RIVER BELOW DILLON, CO.",Stream,,14010002,334,sq mi,,,39.62554200000000,-106.0664082000000,,1,seconds,Interpolated from MAP.,NAD83,8760.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,117,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09057500,"BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO",Stream,,14010002,597,sq mi,,,39.88026354000000,-106.3339175000000,24000,5,seconds,Interpolated from MAP.,NAD83,7682.66,feet,15,feet,Level or other surveyed method.,NGVD29,US,08,117,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09058000,"COLORADO RIVER NEAR KREMMLING, CO",Stream,,14010001,2379,sq mi,,,40.03665248000000,-106.4400324000000,24000,1,seconds,Interpolated from MAP.,NAD83,7320,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,049,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09060799,"COLORADO RIVER AT CATAMOUNT BRIDGE, CO",Stream,,14010001,2930,sq mi,,,39.89110000000000,-106.8316944000000,24000,1,minutes,Interpolated from Digital MAP.,NAD83,6544,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09063000,"EAGLE RIVER AT RED CLIFF, CO.",Stream,,14010003,70.2,sq mi,,,39.50831949000000,-106.3666948000000,,1,seconds,Interpolated from MAP.,NAD83,8653.80,feet,.01,feet,Level or other surveyed method.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09064600,"EAGLE RIVER NEAR MINTURN, CO",Stream,,14010003,186,sq mi,186,sq mi,39.55387495000000,-106.4025290000000,24000,1,seconds,Interpolated from MAP.,NAD83,8078.37,feet,.01,feet,Level or other surveyed method.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09065500,"GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.",Stream,,14010003,14.5,sq mi,,,39.62581930000000,-106.2780823000000,,1,seconds,Interpolated from MAP.,NAD83,8600,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066325,"GORE CREEK ABV RED SANDSTONE CREEK AT VAIL, CO",Stream,,14010003,77.1,sq mi,,,39.64109710000000,-106.3947515000000,24000,5,seconds,Interpolated from MAP.,NAD83,8055,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09066510,"GORE CREEK AT MOUTH NEAR MINTURN, CO",Stream,,14010003,102,sq mi,,,39.60943048000000,-106.4478080000000,24000,1,minutes,Interpolated from MAP.,NAD83,7730,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09067005,"EAGLE RIVER AT AVON, CO.",Stream,,14010003,395,sq mi,,,39.63165270000000,-106.5225318000000,,5,seconds,Interpolated from MAP.,NAD83,7410,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09068500,"BRUSH CREEK AT EAGLE, CO",Stream,,14010003,147,sq mi,,,39.64700000000000,-106.8415278000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6520,feet,20,feet,Interpolated from topographic map.,NAVD88,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09069000,"EAGLE RIVER AT GYPSUM, CO",Stream,,14010003,842,sq mi,,,39.64998510000000,-106.9522665000000,24000,1,seconds,Interpolated from MAP.,NAD83,6276,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09070000,"EAGLE RIVER BELOW GYPSUM, CO.",Stream,,14010003,945,sq mi,,,39.64942954000000,-106.9536554000000,,1,seconds,Interpolated from MAP.,NAD83,6275.11,feet,.02,feet,Level or other surveyed method.,NGVD29,US,08,037,,,,,,,,,,NWIS
